school_name,board,level,city,otg_capacity,enrolment_2020,utilization,fci,fci_year
Blair Road PS,WRDSB,Elementary,Cambridge,271,314,116.0,,2019
Highland PS,WRDSB,Elementary,Cambridge,464,456,98.0,,2019
St. Andrew's PS,WRDSB,Elementary,Cambridge,424,347,82.0,,2020
Tait Street PS,WRDSB,Elementary,Cambridge,507,481,95.0,,2020
Centennial PS (C),WRDSB,Elementary,Cambridge,294,214,73.0,,2019
Hespeler PS,WRDSB,Elementary,Cambridge,675,706,105.0,,2020
Hillcrest PS,WRDSB,Elementary,Cambridge,426,371,87.0,,2019
Silverheights PS,WRDSB,Elementary,Cambridge,637,745,117.0,,2020
Woodland Park PS,WRDSB,Elementary,Cambridge,479,418,87.0,,2020
Coronation PS,WRDSB,Elementary,Cambridge,432,345,80.0,,2017
Grand View PS (C),WRDSB,Elementary,Cambridge,349,253,72.0,,2020
Parkway PS,WRDSB,Elementary,Cambridge,251,303,121.0,,2019
Preston PS,WRDSB,Elementary,Cambridge,303,284,94.0,,2020
Ryerson PS,WRDSB,Elementary,Cambridge,536,466,87.0,,2017
William G. Davis PS,WRDSB,Elementary,Cambridge,455,435,96.0,,2020
Avenue Road PS,WRDSB,Elementary,Cambridge,464,483,104.0,,2019
Clemens Mill PS,WRDSB,Elementary,Cambridge,527,625,119.0,,2020
Elgin Street PS,WRDSB,Elementary,Cambridge,430,413,96.0,,2020
Manchester PS,WRDSB,Elementary,Cambridge,426,366,86.0,,2017
Saginaw PS,WRDSB,Elementary,Cambridge,458,408,89.0,,2020
Central PS,WRDSB,Elementary,Cambridge,308,261,85.0,,2020
Stewart Avenue PS,WRDSB,Elementary,Cambridge,513,501,98.0,,2017
Chalmers Street PS,WRDSB,Elementary,Cambridge,257,420,163.0,,2019
Moffat Creek PS,WRDSB,Elementary,Cambridge,642,688,107.0,,2020
Galt CI,WRDSB,Secondary,Cambridge,1167,958,82.0,,2017
Glenview Park SS,WRDSB,Secondary,Cambridge,1287,968,75.0,,2017
Jacob Hespeler SS,WRDSB,Secondary,Cambridge,1299,1075,83.0,,2020
Preston HS,WRDSB,Secondary,Cambridge,1137,1033,91.0,,2017
Southwood SS,WRDSB,Secondary,Cambridge,912,655,72.0,,2019
Janet Metcalfe PS,WRDSB,Elementary,Kitchener,657,811,123.0,,not eligible
Jean Steckle PS,WRDSB,Elementary,Kitchener,715,750,105.0,,2020
Brigadoon PS,WRDSB,Elementary,Kitchener,495,595,120.0,,2020
Doon PS,WRDSB,Elementary,Kitchener,331,393,119.0,,2017
