year,month,ridership,date
2019,January 2019,1920000,2019-01-01
2019,February 2019,1730000,2019-02-01
2019,March 2019,1970000,2019-03-01
2019,April 2019,1720000,2019-04-01
2019,May 2019,1690000,2019-05-01
2019,June 2019,1770000,2019-06-01
2019,July 2019,1600000,2019-07-01
2019,August 2019,1440000,2019-08-01
2019,September 2019,2160000,2019-09-01
2019,October 2019,2140000,2019-10-01
2019,November 2019,2190000,2019-11-01
2019,December 2019,1630000,2019-12-01
2020,January 2020,1360000,2020-01-01
2020,February 2020,1810000,2020-02-01
2020,March 2020,1300000,2020-03-01
2020,April 2020,590000,2020-04-01
2020,May 2020,700000,2020-05-01
2020,June 2020,720000,2020-06-01
2020,July 2020,770000,2020-07-01
2020,August 2020,790000,2020-08-01
2020,September 2020,880000,2020-09-01
2020,October 2020,900000,2020-10-01
2020,November 2020,840000,2020-11-01
2020,December 2020,740000,2020-12-01
2021,January 2021,560000,2021-01-01
2021,February 2021,570000,2021-02-01
2021,March 2021,800000,2021-03-01
2021,April 2021,620000,2021-04-01
2021,May 2021,600000,2021-05-01
2021,June 2021,700000,2021-06-01
2021,July 2021,760000,2021-07-01
2021,August 2021,790000,2021-08-01
2021,September 2021,1070000,2021-09-01
2021,October 2021,1110000,2021-10-01
2021,November 2021,1170000,2021-11-01
2021,December 2021,990000,2021-12-01
2022,January 2022,810000,2022-01-01
2022,February 2022,980000,2022-02-01
2022,March 2022,1430000,2022-03-01
2022,April 2022,1340000,2022-04-01
2022,May 2022,1450000,2022-05-01
2022,June 2022,1440000,2022-06-01
2022,July 2022,1340000,2022-07-01
2022,August 2022,1330000,2022-08-01
2022,September 2022,2000000,2022-09-01
2022,October 2022,1970000,2022-10-01
2022,November 2022,2060000,2022-11-01
2022,December 2022,1630000,2022-12-01
2023,January 2023,2100000,2023-01-01
2023,February 2023,1820000,2023-02-01
2023,March 2023,2190000,2023-03-01
2023,April 2023,2020000,2023-04-01
2023,May 2023,1700000,2023-05-01
2023,June 2023,2050000,2023-06-01
2023,July 2023,1890000,2023-07-01
2023,August 2023,1930000,2023-08-01
2023,September 2023,2890000,2023-09-01
2023,October 2023,2770000,2023-10-01
2023,November 2023,2780000,2023-11-01
2023,December 2023,2240000,2023-12-01
2024,January 2024,2420000,2024-01-01
2024,February 2024,2350000,2024-02-01
2024,March 2024,2460000,2024-03-01
2024,April 2024,2210000,2024-04-01
2024,May 2024,2220000,2024-05-01
2024,June 2024,2040000,2024-06-01
2024,July 2024,1920000,2024-07-01
2024,August 2024,1780000,2024-08-01
2024,September 2024,2360000,2024-09-01
2024,October 2024,2350000,2024-10-01
2024,November 2024,2320000,2024-11-01
2024,December 2024,1770000,2024-12-01
2025,January 2025,2090000,2025-01-01
2025,February 2025,1760000,2025-02-01
2025,March 2025,2130000,2025-03-01
2025,April 2025,1810000,2025-04-01
2025,May 2025,1820000,2025-05-01
2025,June 2025,1750000,2025-06-01
2025,July 2025,1720000,2025-07-01
2025,August 2025,1540000,2025-08-01
2025,September 2025,2050000,2025-09-01
2025,October 2025,1960000,2025-10-01
2025,November 2025,1940000,2025-11-01
2025,December 2025,1520000,2025-12-01
