Geography,Oct_2025,Nov_2025,Dec_2025,Jan_2026,Feb_2026
"St. John's, Newfoundland and Labrador",6.9,6.7,7.1,7.5,7.6
"Halifax, Nova Scotia",6.0,5.3,5.2,5.3,5.8
"Moncton, New Brunswick",7.0,5.9,5.5,5.5,6.4
"Saint John, New Brunswick",7.2,6.4,5.8,5.6,5.5
"Fredericton, New Brunswick",6.3,5.6,5.2,5.5,6.3
"Saguenay, Quebec",4.5,4.4,4.3,3.9,3.8
"Québec, Quebec",3.9,3.8,2.9,3.2,3.1
"Sherbrooke, Quebec",5.4,4.6,4.8,4.7,5.3
"Trois-Rivières, Quebec",4.3,4.0,3.9,4.2,4.3
"Drummondville, Québec",5.5,5.0,5.6,6.1,7.2
"Montréal, Quebec",6.3,5.4,5.5,5.9,6.5
"Ottawa-Gatineau, Ontario/Quebec",7.8,7.1,6.8,6.6,6.5
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",7.6,7.3,7.1,6.7,6.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",7.8,7.0,6.8,6.6,6.5
"Kingston, Ontario",6.4,5.3,5.6,5.5,5.6
"Belleville - Quinte West, Ontario",8.8,8.8,10.6,10.0,9.9
"Peterborough, Ontario",5.1,4.6,5.3,6.3,6.7
"Oshawa, Ontario",9.2,8.5,8.0,7.2,7.4
"Toronto, Ontario",8.8,7.9,7.5,7.4,7.6
"Hamilton, Ontario",6.8,6.5,6.4,6.8,6.5
"St. Catharines-Niagara, Ontario",6.5,5.8,6.5,7.6,7.7
"Kitchener-Cambridge-Waterloo, Ontario",7.6,7.8,8.1,8.3,8.8
"Brantford, Ontario",9.3,8.2,8.5,8.5,8.0
"Guelph, Ontario",8.6,8.1,7.4,6.6,6.1
"London, Ontario",7.0,6.8,7.3,8.0,8.9
"Windsor, Ontario",10.1,7.6,7.1,7.7,8.1
"Barrie, Ontario",8.5,8.4,8.7,8.5,8.7
"Greater Sudbury, Ontario",6.7,6.0,6.0,6.4,6.1
"Thunder Bay, Ontario",5.0,4.4,4.2,4.8,5.7
"Winnipeg, Manitoba",6.8,6.0,5.7,5.9,5.9
"Regina, Saskatchewan",6.2,6.3,6.3,6.9,7.0
"Saskatoon, Saskatchewan",5.5,5.2,5.8,5.7,5.8
"Lethbridge, Alberta",8.3,7.6,7.2,7.1,6.9
"Calgary, Alberta",7.6,6.8,6.3,6.5,6.6
"Red Deer, Alberta",9.5,9.3,8.9,7.8,6.6
"Edmonton, Alberta",8.3,7.1,6.9,6.7,7.0
"Kelowna, British Columbia",7.7,9.1,8.5,8.2,8.5
"Kamloops, British Columbia",9.0,7.7,6.6,4.6,3.8
"Chilliwack, British Columbia",7.7,7.2,7.3,7.0,6.7
"Abbotsford-Mission, British Columbia",7.7,6.7,6.4,6.1,5.8
"Vancouver, British Columbia",6.6,6.0,5.9,6.0,6.1
"Victoria, British Columbia",4.6,3.9,3.7,3.9,4.4
"Nanaimo, British Columbia",9.3,6.8,6.3,6.1,7.2
