"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-10","St. John's, Newfoundland and Labrador","2021S0503001","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706165","1.10.1.1","62.8","","","","1"
"2025-11","St. John's, Newfoundland and Labrador","2021S0503001","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706165","1.10.1.1","62.1","","","","1"
"2025-12","St. John's, Newfoundland and Labrador","2021S0503001","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706165","1.10.1.1","61.5","","","","1"
"2026-01","St. John's, Newfoundland and Labrador","2021S0503001","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706165","1.10.1.1","60.4","","","","1"
"2026-02","St. John's, Newfoundland and Labrador","2021S0503001","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706165","1.10.1.1","59.9","","","","1"
"2025-10","Halifax, Nova Scotia","2021S0503205","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706435","2.10.1.1","64.0","","","","1"
"2025-11","Halifax, Nova Scotia","2021S0503205","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706435","2.10.1.1","63.9","","","","1"
"2025-12","Halifax, Nova Scotia","2021S0503205","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706435","2.10.1.1","63.7","","","","1"
"2026-01","Halifax, Nova Scotia","2021S0503205","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706435","2.10.1.1","63.7","","","","1"
"2026-02","Halifax, Nova Scotia","2021S0503205","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706435","2.10.1.1","63.7","","","","1"
"2025-10","Moncton, New Brunswick","2021S0503305","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706705","3.10.1.1","61.7","","","","1"
"2025-11","Moncton, New Brunswick","2021S0503305","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706705","3.10.1.1","62.1","","","","1"
"2025-12","Moncton, New Brunswick","2021S0503305","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706705","3.10.1.1","62.3","","","","1"
"2026-01","Moncton, New Brunswick","2021S0503305","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706705","3.10.1.1","61.9","","","","1"
"2026-02","Moncton, New Brunswick","2021S0503305","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706705","3.10.1.1","60.6","","","","1"
"2025-10","Saint John, New Brunswick","2021S0503310","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706975","4.10.1.1","57.8","","","","1"
"2025-11","Saint John, New Brunswick","2021S0503310","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706975","4.10.1.1","56.6","","","","1"
"2025-12","Saint John, New Brunswick","2021S0503310","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706975","4.10.1.1","54.8","","","","1"
"2026-01","Saint John, New Brunswick","2021S0503310","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706975","4.10.1.1","53.2","","","","1"
"2026-02","Saint John, New Brunswick","2021S0503310","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706975","4.10.1.1","53.7","","","","1"
"2025-10","Fredericton, New Brunswick","2021S0503320","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707245","5.10.1.1","61.5","","","","1"
"2025-11","Fredericton, New Brunswick","2021S0503320","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707245","5.10.1.1","61.9","","","","1"
"2025-12","Fredericton, New Brunswick","2021S0503320","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707245","5.10.1.1","62.9","","","","1"
"2026-01","Fredericton, New Brunswick","2021S0503320","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707245","5.10.1.1","63.6","","","","1"
"2026-02","Fredericton, New Brunswick","2021S0503320","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707245","5.10.1.1","62.5","","","","1"
"2025-10","Saguenay, Quebec","2021S0503408","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642707515","6.10.1.1","56.9","","","","1"
