school_name,board,level,city,otg_capacity,enrolment_2020,utilization,fci,fci_year
Blair Road PS,WRDSB,Elementary,Cambridge,271,314,116%,24%,2019
Highland PS,WRDSB,Elementary,Cambridge,464,456,98%,30%,2019
St. Andrew's PS,WRDSB,Elementary,Cambridge,424,347,82%,20%,2020
Tait Street PS,WRDSB,Elementary,Cambridge,507,481,95%,16%,2020
Centennial PS (C),WRDSB,Elementary,Cambridge,294,214,73%,47%,2019
Hespeler PS,WRDSB,Elementary,Cambridge,675,706,105%,24%,2020
Hillcrest PS,WRDSB,Elementary,Cambridge,426,371,87%,21%,2019
Silverheights PS,WRDSB,Elementary,Cambridge,637,745,117%,13%,2020
Woodland Park PS,WRDSB,Elementary,Cambridge,479,418,87%,30%,2020
Coronation PS,WRDSB,Elementary,Cambridge,432,345,80%,10%,2017
Grand View PS (C),WRDSB,Elementary,Cambridge,349,253,72%,23%,2020
Parkway PS,WRDSB,Elementary,Cambridge,251,303,121%,12%,2019
Preston PS,WRDSB,Elementary,Cambridge,303,284,94%,20%,2020
Ryerson PS,WRDSB,Elementary,Cambridge,536,466,87%,12%,2017
William G. Davis PS,WRDSB,Elementary,Cambridge,455,435,96%,14%,2020
Avenue Road PS,WRDSB,Elementary,Cambridge,464,483,104%,24%,2019
Clemens Mill PS,WRDSB,Elementary,Cambridge,527,625,119%,27%,2020
Elgin Street PS,WRDSB,Elementary,Cambridge,430,413,96%,32%,2020
Manchester PS,WRDSB,Elementary,Cambridge,426,366,86%,25%,2017
Saginaw PS,WRDSB,Elementary,Cambridge,458,408,89%,23%,2020
Central PS,WRDSB,Elementary,Cambridge,308,261,85%,45%,2020
Stewart Avenue PS,WRDSB,Elementary,Cambridge,513,501,98%,27%,2017
Chalmers Street PS,WRDSB,Elementary,Cambridge,257,420,163%,44%,2019
Moffat Creek PS,WRDSB,Elementary,Cambridge,642,688,107%,2%,2020
Galt CI,WRDSB,Secondary,Cambridge,1167,958,82%,68%,2017
Glenview Park SS,WRDSB,Secondary,Cambridge,1287,968,75%,52%,2017
Jacob Hespeler SS,WRDSB,Secondary,Cambridge,1299,1075,83%,28%,2020
Preston HS,WRDSB,Secondary,Cambridge,1137,1033,91%,56%,2017
Southwood SS,WRDSB,Secondary,Cambridge,912,655,72%,54%,2019
Janet Metcalfe PS,WRDSB,Elementary,Kitchener,657,811,123%,0%,not eligible
Jean Steckle PS,WRDSB,Elementary,Kitchener,715,750,105%,2%,2020
Brigadoon PS,WRDSB,Elementary,Kitchener,495,595,120%,16%,2020
Doon PS,WRDSB,Elementary,Kitchener,331,393,119%,77%,2017
Groh PS,WRDSB,Elementary,Kitchener,597,833,140%,0%,not eligible
J.W. Gerth PS,WRDSB,Elementary,Kitchener,582,520,89%,3%,2020
Pioneer Park PS,WRDSB,Elementary,Kitchener,294,359,122%,18%,2019
Franklin PS,WRDSB,Elementary,Kitchener,634,586,92%,26%,2020
Howard Robertson PS,WRDSB,Elementary,Kitchener,504,327,65%,54%,2019
Rockway PS,WRDSB,Elementary,Kitchener,294,216,73%,41%,2019
Sheppard PS,WRDSB,Elementary,Kitchener,433,353,82%,42%,2019
Sunnyside PS,WRDSB,Elementary,Kitchener,455,356,78%,46%,2019
Wilson Avenue PS,WRDSB,Elementary,Kitchener,510,490,96%,32%,2019
Alpine PS,WRDSB,Elementary,Kitchener,294,272,93%,36%,2020
Country Hills PS,WRDSB,Elementary,Kitchener,309,391,127%,47%,2019
Glencairn PS,WRDSB,Elementary,Kitchener,332,305,92%,36%,2017
Laurentian PS,WRDSB,Elementary,Kitchener,421,404,96%,46%,2020
Trillium PS,WRDSB,Elementary,Kitchener,262,192,73%,31%,2017
Forest Hill PS,WRDSB,Elementary,Kitchener,560,456,81%,42%,2019
Queensmount PS,WRDSB,Elementary,Kitchener,432,374,87%,53%,2019
Southridge PS,WRDSB,Elementary,Kitchener,518,417,81%,45%,2019
W.T. Townshend PS,WRDSB,Elementary,Kitchener,758,620,82%,8%,2020
Williamsburg PS,WRDSB,Elementary,Kitchener,770,676,88%,4%,2020
Driftwood Park PS,WRDSB,Elementary,Kitchener,352,408,116%,24%,2019
John Darling PS,WRDSB,Elementary,Kitchener,324,209,65%,35%,2020
Meadowlane PS,WRDSB,Elementary,Kitchener,285,239,84%,49%,2017
Sandhills PS,WRDSB,Elementary,Kitchener,678,654,96%,43%,2020
Westheights PS,WRDSB,Elementary,Kitchener,320,569,178%,35%,2019
A.R. Kaufman PS,WRDSB,Elementary,Kitchener,493,371,75%,36%,2019
Empire PS,WRDSB,Elementary,Kitchener,441,575,130%,23%,2017
Westmount PS,WRDSB,Elementary,Kitchener,493,534,108%,2%,2020
Westvale PS,WRDSB,Elementary,Kitchener,401,386,96%,29%,2020
Margaret Avenue PS,WRDSB,Elementary,Kitchener,472,358,76%,57%,2017
Prueter PS,WRDSB,Elementary,Kitchener,372,215,58%,47%,2019
Suddaby PS,WRDSB,Elementary,Kitchener,552,489,89%,20%,2020
Courtland Avenue PS,WRDSB,Elementary,Kitchener,340,245,72%,35%,2020
J.F. Carmichael PS,WRDSB,Elementary,Kitchener,552,456,83%,14%,2019
King Edward PS,WRDSB,Elementary,Kitchener,352,289,82%,25%,2019
Queen Elizabeth PS,WRDSB,Elementary,Kitchener,358,227,63%,23%,2017
Crestview PS,WRDSB,Elementary,Kitchener,525,415,79%,45%,2019
Mackenzie King PS,WRDSB,Elementary,Kitchener,363,272,75%,52%,2017
Smithson PS,WRDSB,Elementary,Kitchener,376,233,62%,67%,2017
Stanley Park PS,WRDSB,Elementary,Kitchener,464,382,82%,63%,2019
Chicopee Hills PS,WRDSB,Elementary,Kitchener,623,782,126%,0%,not eligible
Lackner Woods PS,WRDSB,Elementary,Kitchener,412,534,130%,24%,2020
Forest Heights CI,WRDSB,Secondary,Kitchener,1281,1258,98%,66%,2017
Huron Heights SS,WRDSB,Secondary,Kitchener,1224,1603,131%,8%,2020
Cameron Heights CI,WRDSB,Secondary,Kitchener,1596,1437,90%,35%,2020
Eastwood CI,WRDSB,Secondary,Kitchener,1230,1262,103%,35%,2017
Grand River CI,WRDSB,Secondary,Kitchener,1383,1319,95%,26%,2019
Kitchener-Waterloo CI,WRDSB,Secondary,Kitchener,1461,1332,91%,60%,2017
Baden PS,WRDSB,Elementary,Wilmot,605,589,97%,19%,2019
Forest Glen PS,WRDSB,Elementary,Wilmot,446,499,112%,50%,2020
Grandview PS (NH),WRDSB,Elementary,Wilmot,179,232,130%,49%,2017
New Dundee PS,WRDSB,Elementary,Wilmot,228,161,71%,20%,2017
Sir Adam Beck PS,WRDSB,Elementary,Wilmot,565,600,106%,17%,2020
Conestogo PS,WRDSB,Elementary,Wellesley,262,224,85%,42%,2017
Floradale PS,WRDSB,Elementary,Wellesley,340,231,68%,4%,2020
Linwood PS,WRDSB,Elementary,Wellesley,528,374,71%,25%,2019
St. Jacobs PS,WRDSB,Elementary,Wellesley,320,269,84%,42%,2019
Wellesley PS,WRDSB,Elementary,Wellesley,714,698,98%,18%,2020
John Mahood PS,WRDSB,Elementary,Woolwich,381,410,108%,36%,2017
Park Manor PS,WRDSB,Elementary,Woolwich,271,215,79%,39%,2019
Riverside PS,WRDSB,Elementary,Woolwich,557,437,78%,0%,not eligible
Breslau PS,WRDSB,Elementary,Woolwich,565,683,121%,30%,2017
Ayr PS,WRDSB,Elementary,North Dumfries,179,184,103%,30%,2017
Cedar Creek PS,WRDSB,Elementary,North Dumfries,527,547,104%,7%,2020
Elmira District SS,WRDSB,Secondary,Woolwich,975,599,61%,35%,2020
Waterloo-Oxford DSS,WRDSB,Secondary,Wilmot,1164,969,83%,45%,2019
Abraham Erb PS,WRDSB,Elementary,Waterloo,487,484,99%,9%,2020
Edna Staebler PS,WRDSB,Elementary,Waterloo,720,627,87%,5%,2020
Laurelwood PS,WRDSB,Elementary,Waterloo,366,713,195%,21%,2020
Vista Hills PS,WRDSB,Elementary,Waterloo,643,780,121%,0%,not eligible
Centennial PS (W),WRDSB,Elementary,Waterloo,294,444,151%,64%,2019
Keatsway PS,WRDSB,Elementary,Waterloo,294,396,135%,25%,2020
Mary Johnston PS,WRDSB,Elementary,Waterloo,433,444,103%,8%,2020
Cedarbrae PS,WRDSB,Elementary,Waterloo,409,221,54%,76%,2017
Elizabeth Ziegler PS,WRDSB,Elementary,Waterloo,437,473,108%,39%,2017
Lincoln Heights PS,WRDSB,Elementary,Waterloo,467,356,76%,51%,2019
MacGregor PS,WRDSB,Elementary,Waterloo,414,540,130%,80%,2017
N.A. MacEachern PS,WRDSB,Elementary,Waterloo,309,308,100%,41%,2020
Northlake Woods PS,WRDSB,Elementary,Waterloo,510,363,71%,19%,2020
Winston Churchill PS,WRDSB,Elementary,Waterloo,216,286,132%,45%,2019
Bridgeport PS,WRDSB,Elementary,Waterloo,507,349,69%,15%,2020
Lester B. Pearson PS,WRDSB,Elementary,Waterloo,654,665,102%,13%,2020
Lexington PS,WRDSB,Elementary,Waterloo,113,356,315%,38%,2019
Millen Woods PS,WRDSB,Elementary,Waterloo,496,342,69%,3%,2020
Sandowne PS,WRDSB,Elementary,Waterloo,458,296,65%,21%,2020
Bluevale CI,WRDSB,Secondary,Waterloo,1389,1243,89%,25%,2019
Sir John A. Macdonald SS,WRDSB,Secondary,Waterloo,1548,1708,110%,11%,2020
Waterloo CI,WRDSB,Secondary,Waterloo,1203,1395,116%,57%,2017
