"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-10","St. John's, Newfoundland and Labrador","2021S0503001","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706111","1.8.1.1","6.9","","","","1"
"2025-11","St. John's, Newfoundland and Labrador","2021S0503001","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706111","1.8.1.1","6.7","","","","1"
"2025-12","St. John's, Newfoundland and Labrador","2021S0503001","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706111","1.8.1.1","7.1","","","","1"
"2026-01","St. John's, Newfoundland and Labrador","2021S0503001","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706111","1.8.1.1","7.5","","","","1"
"2026-02","St. John's, Newfoundland and Labrador","2021S0503001","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706111","1.8.1.1","7.6","","","","1"
"2025-10","Halifax, Nova Scotia","2021S0503205","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706381","2.8.1.1","6.0","","","","1"
"2025-11","Halifax, Nova Scotia","2021S0503205","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706381","2.8.1.1","5.3","","","","1"
"2025-12","Halifax, Nova Scotia","2021S0503205","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706381","2.8.1.1","5.2","","","","1"
"2026-01","Halifax, Nova Scotia","2021S0503205","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706381","2.8.1.1","5.3","","","","1"
"2026-02","Halifax, Nova Scotia","2021S0503205","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706381","2.8.1.1","5.8","","","","1"
"2025-10","Moncton, New Brunswick","2021S0503305","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706651","3.8.1.1","7.0","","","","1"
"2025-11","Moncton, New Brunswick","2021S0503305","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706651","3.8.1.1","5.9","","","","1"
"2025-12","Moncton, New Brunswick","2021S0503305","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706651","3.8.1.1","5.5","","","","1"
"2026-01","Moncton, New Brunswick","2021S0503305","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706651","3.8.1.1","5.5","","","","1"
"2026-02","Moncton, New Brunswick","2021S0503305","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706651","3.8.1.1","6.4","","","","1"
"2025-10","Saint John, New Brunswick","2021S0503310","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642706921","4.8.1.1","7.2","","","","1"
